index,url
1,https://en.wikipedia.org/wiki/Python_(programming_language)
2,https://en.wikipedia.org/wiki/Main_Page
3,https://en.wikipedia.org/wiki/Programming_paradigm
4,https://en.wikipedia.org/wiki/Multi-paradigm
5,https://en.wikipedia.org/wiki/Object-oriented
6,https://en.wikipedia.org/wiki/Procedural_programming
7,https://en.wikipedia.org/wiki/Imperative_programming
8,https://en.wikipedia.org/wiki/Functional_programming
9,https://en.wikipedia.org/wiki/Structured_programming
10,https://en.wikipedia.org/wiki/Reflective_programming
11,https://en.wikipedia.org/wiki/Wikipedia
12,https://en.wikipedia.org/wiki/Free_content
13,https://en.wikipedia.org/wiki/Encyclopedia
14,https://en.wikipedia.org/wiki/English_language
15,"https://en.wikipedia.org/wiki/Igor_Judge,_Baron_Judge"
16,https://en.wikipedia.org/wiki/Nominative_determinism
17,https://en.wikipedia.org/wiki/Hypothesis
18,https://en.wikipedia.org/wiki/New_Scientist
19,https://en.wikipedia.org/wiki/Carl_Jung
20,https://en.wikipedia.org/wiki/Programming_model
21,https://en.wikipedia.org/wiki/Computer_program
22,https://en.wikipedia.org/wiki/Programming_language
23,https://en.wikipedia.org/wiki/Execution_model
24,https://en.wikipedia.org/wiki/Side_effect_(computer_science)
25,https://en.wikipedia.org/wiki/Syntax_(programming_languages)
26,https://en.wikipedia.org/wiki/Formal_grammar
27,https://en.wikipedia.org/wiki/Hierarchical_relationship
28,https://en.wikipedia.org/wiki/Comparison_of_multi-paradigm_programming_languages
29,https://en.wikipedia.org/wiki/Concurrent_programming_language
30,https://en.wikipedia.org/wiki/Futures_and_promises
31,https://en.wikipedia.org/wiki/Actor_model
32,https://en.wikipedia.org/wiki/Constraint_programming
33,https://en.wikipedia.org/wiki/Simplex_algorithm
34,https://en.wikipedia.org/wiki/Dataflow
35,https://en.wikipedia.org/wiki/Object-oriented_programming
36,https://en.wikipedia.org/wiki/Object-orientation_(disambiguation)
37,https://en.wikipedia.org/wiki/UML
38,https://en.wikipedia.org/wiki/Variable_(computer_science)
39,https://en.wikipedia.org/wiki/Method_(computer_programming)
40,https://en.wikipedia.org/wiki/Object_(computer_science)
41,https://en.wikipedia.org/wiki/Data
42,https://en.wikipedia.org/wiki/Field_(computer_science)
43,https://en.wikipedia.org/wiki/Procedural_generation
44,https://en.wikipedia.org/wiki/Function_(computer_programming)
45,https://en.wikipedia.org/wiki/Fortran
46,https://en.wikipedia.org/wiki/ALGOL
47,https://en.wikipedia.org/wiki/COBOL
48,https://en.wikipedia.org/wiki/Computer_science
49,https://en.wikipedia.org/wiki/Software
50,https://en.wikipedia.org/wiki/Statement_(computer_science)
51,https://en.wikipedia.org/wiki/State_(computer_science)
52,https://en.wikipedia.org/wiki/Imperative_mood
53,https://en.wikipedia.org/wiki/Natural_language
54,https://en.wikipedia.org/wiki/Command_(computing)
55,https://en.wikipedia.org/wiki/Function_application
56,https://en.wikipedia.org/wiki/Function_composition_(computer_science)
57,https://en.wikipedia.org/wiki/Function_(computer_science)
58,https://en.wikipedia.org/wiki/Declarative_programming
59,https://en.wikipedia.org/wiki/Tree_(data_structure)
60,https://en.wikipedia.org/wiki/Control_flow
61,https://en.wikipedia.org/wiki/Conditional_(computer_programming)
62,https://en.wikipedia.org/wiki/While_loop
63,https://en.wikipedia.org/wiki/For_loop
64,https://en.wikipedia.org/wiki/Block_(programming)
65,https://en.wikipedia.org/wiki/Subroutines
66,https://en.wikipedia.org/wiki/Reflection_(computer_graphics)
67,https://en.wikipedia.org/wiki/Process_(computing)
68,https://en.wikipedia.org/wiki/Introspection_(computer_science)
69,https://en.wikipedia.org/wiki/Assembly_language
70,https://en.wikipedia.org/wiki/Self-modifying_code
71,https://en.wikipedia.org/wiki/Compiled_languages
72,https://en.wikipedia.org/wiki/English_Wikipedia
73,https://en.wikipedia.org/wiki/Wikipedia_(disambiguation)
74,https://en.wikipedia.org/wiki/Wikipedia_logo
75,https://en.wikipedia.org/wiki/Glyph
76,https://en.wikipedia.org/wiki/Writing_system
77,https://en.wikipedia.org/wiki/Online_encyclopedia
78,https://en.wikipedia.org/wiki/San_Francisco
79,https://en.wikipedia.org/wiki/Wikimedia_Foundation
80,https://en.wikipedia.org/wiki/Khmer_language
81,https://en.wikipedia.org/wiki/Creative_work
82,https://en.wikipedia.org/wiki/Work_of_art
83,https://en.wikipedia.org/wiki/Media_(communication)
84,https://en.wikipedia.org/wiki/Public_domain
85,https://en.wikipedia.org/wiki/Copyright
86,https://en.wikipedia.org/wiki/License
87,https://en.wikipedia.org/wiki/Encyclopedia_(disambiguation)
88,https://en.wikipedia.org/wiki/Encyclop%C3%A6dia_Britannica
89,https://en.wikipedia.org/wiki/Reference_work
90,https://en.wikipedia.org/wiki/Compendium
91,https://en.wikipedia.org/wiki/Knowledge
92,https://en.wikipedia.org/wiki/Article_(publishing)
93,https://en.wikipedia.org/wiki/Alphabetical_order
94,https://en.wikipedia.org/wiki/Hyperlink
95,https://en.wikipedia.org/wiki/English-speaking_world
96,https://en.wikipedia.org/wiki/United_Kingdom
97,https://en.wikipedia.org/wiki/United_States
98,https://en.wikipedia.org/wiki/Canada
99,https://en.wikipedia.org/wiki/Australia
100,https://en.wikipedia.org/wiki/Republic_of_Ireland
101,https://en.wikipedia.org/wiki/New_Zealand
102,https://en.wikipedia.org/wiki/Liberia
103,https://en.wikipedia.org/wiki/Court_of_Appeal_judge_(England_and_Wales)
104,https://en.wikipedia.org/wiki/The_Right_Honourable
105,https://en.wikipedia.org/wiki/King%27s_Counsel
106,https://en.wikipedia.org/wiki/Privy_Council_(United_Kingdom)
107,https://en.wikipedia.org/wiki/Member_of_the_House_of_Lords
108,https://en.wikipedia.org/wiki/Lord_Temporal
109,https://en.wikipedia.org/wiki/Life_peer
110,https://en.wikipedia.org/wiki/Convenor_of_the_Crossbench_Peers
111,https://en.wikipedia.org/wiki/Aptronym
112,https://en.wikipedia.org/wiki/Surname
